artist                                                                          | song_count
--------------------------------------------------------------------------------+-----------
메들리                                                                             |        362
나훈아                                                                             |        246
임영웅                                                                             |        198
박재범                                                                             |        180
기리보이                                                                            |        178
방탄소년단                                                                           |        157
IU                                                                              |        157
다이나믹듀오                                                                          |        149
윤종신                                                                             |        145
윤하                                                                              |        144
먼데이키즈                                                                           |        140
세븐틴                                                                             |        136
MC THE MAX                                                                      |        135
창모                                                                              |        133
성시경                                                                             |        132
임창정                                                                             |        131
조용필                                                                             |        128
쿨                                                                               |        122
김범수                                                                             |        121
린                                                                               |        118
이승환                                                                             |        118
크러쉬                                                                             |        117
다비치                                                                             |        115
SG워너비                                                                           |        113
박정현                                                                             |        112
빅나티(서동현)                                                                        |        111
거미                                                                              |        110
보아                                                                              |        110
10cm                                                                            |        110
휘성                                                                              |        109
K.Will                                                                          |        109
정동원                                                                             |        108
태연                                                                              |        108
백지영                                                                             |        106
에픽하이                                                                            |        106
헤이즈                                                                             |        106
김경호                                                                             |        105
동요                                                                              |        104
신화                                                                              |        103
로꼬                                                                              |        102
김건모                                                                             |        101
김호중                                                                             |        101
스트레이키즈                                                                          |        101
지아                                                                              |        101
박효신                                                                             |         99
이승철                                                                             |         99
샤이니                                                                             |         98
남진                                                                              |         97
pH-1                                                                            |         97
데이식스                                                                            |         96
이찬원                                                                             |         96
신승훈                                                                             |         95
영탁                                                                              |         95
FT Island                                                                       |         95
릴러말즈                                                                            |         94
스윙스                                                                             |         94
자우림                                                                             |         94
조성모                                                                             |         94
레드벨벳                                                                            |         91
장민호                                                                             |         91
NCT DREAM                                                                       |         91
도끼                                                                              |         90
MC몽                                                                             |         90
EXO                                                                             |         89
빈지노                                                                             |         88
주제가                                                                             |         88
폴킴                                                                              |         88
윤도현밴드                                                                           |         87
코요태                                                                             |         87
슈퍼주니어                                                                           |         86
허각                                                                              |         86
Visayan Song                                                                    |         86
마마무                                                                             |         85
이수영                                                                             |         84
4MEN                                                                            |         84
이미자                                                                             |         83
트와이스                                                                            |         83
Fly To The Sky                                                                  |         83
개코                                                                              |         82
에일리                                                                             |         82
키드밀리                                                                            |         82
初音ミク                                                                            |         80
동방신기                                                                            |         79
투모로우바이투게더                                                                       |         79
NCT 127                                                                         |         79
서영은                                                                             |         77
이문세                                                                             |         77
저스디스                                                                            |         77
Sik-K                                                                           |         77
볼빨간사춘기                                                                          |         76
장윤정                                                                             |         76
정승환                                                                             |         76
The Quiett                                                                      |         76
싸이                                                                              |         75
이승기                                                                             |         75
주현미                                                                             |         75
ASH ISLAND                                                                      |         75
Verbal Jint                                                                     |         75
규현                                                                              |         74
넬                                                                               |         74
노을                                                                              |         73
소녀시대                                                                            |         73
지코                                                                              |         73
빅뱅                                                                              |         72
양다일                                                                             |         72
사이먼도미닉                                                                          |         71
자이언티                                                                            |         71
한요한                                                                             |         71
Ariana Grande                                                                   |         71
BTOB                                                                            |         71
루시                                                                              |         70
태진아                                                                             |         70
KCM                                                                             |         70
MC Sniper                                                                       |         70
가비엔제이                                                                           |         69
김나영                                                                             |         69
더보이즈                                                                            |         69
이브                                                                              |         69
Bobby Kim                                                                       |         69
San E                                                                           |         69
그레이                                                                             |         68
백예린                                                                             |         68
장혜진                                                                             |         68
조항조                                                                             |         68
김동률                                                                             |         67
김희재                                                                             |         67
플라워                                                                             |         67
바이브                                                                             |         66
비와이                                                                             |         66
TOIL                                                                            |         66
나윤권                                                                             |         65
박상민                                                                             |         65
버즈                                                                              |         65
god                                                                             |         65
드렁큰타이거                                                                          |         64
로이킴                                                                             |         64
잔나비                                                                             |         64
에스파(aespa)                                                                      |         64
V.O.S                                                                           |         64
권진아                                                                             |         63
김민종                                                                             |         63
박서진                                                                             |         63
장나라                                                                             |         63
김연우                                                                             |         62
시아준수                                                                            |         62
호미들                                                                             |         62
배치기                                                                             |         61
송가인                                                                             |         61
홍경민                                                                             |         61
Justin Bieber                                                                   |         61
刘德华                                                                             |         60
嵐                                                                               |         60
张学友                                                                             |         60
이선희                                                                             |         60
이하이                                                                             |         60
(여자)아이들                                                                         |         60
AKMU(악뮤)                                                                        |         60
신용재                                                                             |         59
이정                                                                              |         59
DJ DOC                                                                          |         59
M TO M                                                                          |         59
tei                                                                             |         59
WAX                                                                             |         59
김필                                                                              |         58
매드클라운                                                                           |         58
박진영                                                                             |         58
수퍼비                                                                             |         58
신혜성                                                                             |         58
이기찬                                                                             |         58
인피니트                                                                            |         58
청하                                                                              |         58
코드쿤스트                                                                           |         58
김종국                                                                             |         57
비스트                                                                             |         57
임재범                                                                             |         57
Taylor Swift                                                                    |         57
김하온                                                                             |         56
이효리                                                                             |         56
팔로알토                                                                            |         56
스탠딩에그                                                                           |         55
원슈타인                                                                            |         55
이소라                                                                             |         55
조관우                                                                             |         55
벤(Ben)                                                                          |         55
L'Arc~en~Ciel                                                                   |         55
리쌍                                                                              |         54
별                                                                               |         54
설운도                                                                             |         54
양파                                                                              |         54
에이핑크                                                                            |         54
펀치                                                                              |         54
효린                                                                              |         54
モーニング娘。                                                                         |         53
몬스타엑스                                                                           |         53
박완규                                                                             |         53
부활                                                                              |         53
어반자카파                                                                           |         53
케이시                                                                             |         53
티아라                                                                             |         53
백현(EXO)                                                                         |         53
브라운아이드소울                                                                        |         52
스키니브라운                                                                          |         52
여자친구                                                                            |         52
크라잉넛                                                                            |         52
하동균                                                                             |         52
김현철                                                                             |         51
GOT7                                                                            |         51
그루비룸                                                                            |         50
박지윤                                                                             |         50
배호                                                                              |         50
비                                                                               |         50
씨엔블루                                                                            |         50
씨잼                                                                              |         50
은지원                                                                             |         50
장범준                                                                             |         50
정준일                                                                             |         50
치즈                                                                              |         50
쿠기                                                                              |         50
(팡파레)                                                                           |         50
태민(TAEMIN)                                                                      |         50
G-DRAGON                                                                        |         50
김진표                                                                             |         49
김현정                                                                             |         49
변진섭                                                                             |         49
브라운아이드걸스                                                                        |         49
유리상자                                                                            |         49
인순이                                                                             |         49
현철                                                                              |         49
Beatles                                                                         |         49
The One                                                                         |         49
공일오비                                                                            |         48
김승민                                                                             |         48
김종서                                                                             |         48
나비                                                                              |         48
안예은                                                                             |         48
에이티즈                                                                            |         48
염따                                                                              |         48
우원재                                                                             |         48
하성운                                                                             |         48
한동근                                                                             |         48
2PM                                                                             |         48
BoA                                                                             |         48
Ed Sheeran                                                                      |         48
검정치마                                                                            |         47
박혜경                                                                             |         47
이승윤                                                                             |         47
이적                                                                              |         47
카더가든                                                                            |         47
Charlie Puth                                                                    |         47
조PD                                                                             |         47
딘                                                                               |         46
릴보이                                                                             |         46
멜로망스                                                                            |         46
엄정화                                                                             |         46
오마이걸                                                                            |         46
정동하                                                                             |         46
정인                                                                              |         46
젝스키스                                                                            |         46
비비(BIBI)                                                                        |         46
IVE(아이브)                                                                        |         46
김장훈                                                                             |         45
김조한                                                                             |         45
에즈원                                                                             |         45
윤건                                                                              |         45
이무진                                                                             |         45
이영현                                                                             |         45
임한별                                                                             |         45
진해성                                                                             |         45
페노메코                                                                            |         45
황치열                                                                             |         45
김재환                                                                             |         44
김태우                                                                             |         44
소유                                                                              |         44
이창섭                                                                             |         44
카라                                                                              |         44
2AM                                                                             |         44
AKB48                                                                           |         44
BE'O(비오)                                                                        |         44
S.E.S                                                                           |         44
빅스                                                                              |         43
세븐                                                                              |         43
아웃사이더                                                                           |         43
알리                                                                              |         43
이현우                                                                             |         43
프라이머리                                                                           |         43
화요비                                                                             |         43
iKON(아이콘)                                                                       |         43
Rihanna                                                                         |         43
浜崎あゆみ                                                                           |         42
나플라                                                                             |         42
적재                                                                              |         42
전상근                                                                             |         42
최진희                                                                             |         42
하현상                                                                             |         42
ENHYPEN                                                                         |         42
HYNN(박혜원)                                                                       |         42
ITZY(있지)                                                                        |         42
Maroon 5                                                                        |         42
Nhạcquốctế                                                                   |         42
Paul Blanco                                                                     |         42
가곡                                                                              |         41
김보경                                                                             |         41
서인국                                                                             |         41
옥주현                                                                             |         41
임정희                                                                             |         41
정엽                                                                              |         41
조규찬                                                                             |         41
존박                                                                              |         41
최유리                                                                             |         41
콜드                                                                              |         41
Drake                                                                           |         41
Gist                                                                            |         41
빅마마                                                                             |         40
제시                                                                              |         40
터보                                                                              |         40
패티김                                                                             |         40
홍진영                                                                             |         40
위너(WINNER)                                                                      |         40
SeeYa                                                                           |         40
강타                                                                              |         39
김다현                                                                             |         39
김수희                                                                             |         39
남인수                                                                             |         39
노라조                                                                             |         39
디셈버                                                                             |         39
박지현                                                                             |         39
범키                                                                              |         39
손태진                                                                             |         39
송민호                                                                             |         39
송하예                                                                             |         39
양요섭                                                                             |         39
정세운                                                                             |         39
핑클                                                                              |         39
마크툽(MAKTUB)                                                                     |         39
SS501                                                                           |         39
T(윤미래)                                                                          |         39
Various Artists                                                                 |         39
김용임                                                                             |         38
김윤아                                                                             |         38
김정민                                                                             |         38
럼블피쉬                                                                            |         38
양희은                                                                             |         38
엔플라잉                                                                            |         38
클릭비                                                                             |         38
엔믹스(NMIXX)                                                                      |         38
B1A4                                                                            |         38
